App Name,API Product,API Proxy
BDOPay-Prod,BDO-Digital-PROD,SendMoneyImmediate-v2
BDOPay-Prod,BDO-Digital-PROD,SendMoneyScheduledRequest-v2
BDOPay-Prod,BDO-Digital-PROD,SendMoneyScheduled-v2
BDOPay-Prod,BDO-Digital-PROD,QrRequest-v1
BDOPay-Prod,BDO-Digital-PROD,QrTransactions-v1
BDOPay-Prod,BDO-Digital-PROD,SendMoneyInstaPay-v1
BDOPay-Prod,BDO-Digital-PROD,SendMoneyInstaPayTokenized-v1
BDOPay-Prod,BDO-Digital-PROD,SendMoneyInstapay-v2
BDOPay-Prod,BDO-Digital-PROD,SendMoneyInstapayRequest-v2
BDOPay-Prod,BDO-Digital-PROD,ApiBanking-Billers-v2
BDOPay-Prod,BDO-Digital-PROD,BillsPaymentRequestTokenized-v1
BDOPay-Prod,BDO-Digital-PROD,BillsPaymentTransactions-v1
BDOPay-Prod,BDO-Digital-PROD,BillsPaymentTransactionsTokenized-v1
BDOPay-Prod,BDO-Digital-PROD,BillsPaymentRequest-v1
BDOPay-Prod,BDO-Digital-PROD,ApiBanking-Callback-v1
BDOPay-Prod,BDO-Digital-PROD,PrepaidMobileReloadImmediate-v1
BDOPay-Prod,BDO-Digital-PROD,PrepaidMobileReloadRequest-v1
BDOPay-Prod,BDO-Digital-PROD,ApiBanking-LoginFor2FA-v1
BDOPay-Prod,BDO-Digital-PROD,GetDebitCardInfo-V1
BDOPay-Prod,BDO-Digital-PROD,CreditCardAccounts-v4
BDOPay-Prod,BDO-Digital-PROD,ApiBanking-CreditCardAccountsTokenized-v4
BDOPay2-Swiftpass-PROD,BDOPay2-Swiftpass-PROD,CASANotification-SP-V1
BDOPay2-Swiftpass-PROD,BDOPay2-Swiftpass-PROD,CCNotification-SP-V1
BDOPay2-Swiftpass-PROD,BDOPay2-Swiftpass-PROD,CPQRAuthorization-SP-V1
BDOPay2-Swiftpass-PROD,BDOPay2-Swiftpass-PROD,CPQRProcess-Kvm-v1
BDOPay2-Swiftpass-PROD,BDOPay2-Swiftpass-PROD,MPQR-SP-V1
