App Name,API Product,Environments,API Proxy
NDBWEB,BDOPay2-BB-PROD,"ext-prod-edge-1,ext-prod-edge-2,ext-prod-edge-3,ext-prod-edge-4,ext-prod-edge-5",BOP-CasaAcounts-v1
NDBWEB,SendMoneyUSDToPHPImmediate,"ext-prod-edge-1,ext-prod-edge-2,ext-prod-edge-3,ext-prod-edge-4,ext-prod-edge-5",SendMoneyUSDToPHP-v1
NDBWEB,SendMoneyUSDToPHPImmediate,"ext-prod-edge-1,ext-prod-edge-2,ext-prod-edge-3,ext-prod-edge-4,ext-prod-edge-5",SendMoneyUSDToPHPRequest-v1
NDBWEB,SendMoneyInstapayScheduled,"ext-prod-edge-1,ext-prod-edge-2,ext-prod-edge-3,ext-prod-edge-4,ext-prod-edge-5",SendMoneyInstapayScheduledRequest-v1
NDBWEB,SendMoneyInstapayScheduled,"ext-prod-edge-1,ext-prod-edge-2,ext-prod-edge-3,ext-prod-edge-4,ext-prod-edge-5",SendMoneyInstapayScheduled-v1
NDBWEB,CreditCard-eSOA-v1,"ext-prod-edge-1,ext-prod-edge-2,ext-prod-edge-3,ext-prod-edge-4,ext-prod-edge-5",CreditCard-eSOA-Tokenized-v1
NDBWEB,StopPaymentOrder-v1,"ext-prod-edge-1,ext-prod-edge-2,ext-prod-edge-3,ext-prod-edge-4,ext-prod-edge-5",StopPaymentOrder-v1
NDBWEB,BillsPayScheduled-PROD,"ext-prod-edge-1,ext-prod-edge-2,ext-prod-edge-3,ext-prod-edge-4,ext-prod-edge-5",BillsPaymentScheduledTransactions-v1
NDBWEB,BillsPayScheduled-PROD,"ext-prod-edge-1,ext-prod-edge-2,ext-prod-edge-3,ext-prod-edge-4,ext-prod-edge-5",BillsPaymentScheduledTransactions-v2
NDBWEB,BillsPayScheduled-PROD,"ext-prod-edge-1,ext-prod-edge-2,ext-prod-edge-3,ext-prod-edge-4,ext-prod-edge-5",BillsPaySearch-v0
NDBWEB,BillsPayScheduled-PROD,"ext-prod-edge-1,ext-prod-edge-2,ext-prod-edge-3,ext-prod-edge-4,ext-prod-edge-5",BillsPaymentScheduledRequest-v2
NDBWEB,PrepaidMobileReloadScheduled-PROD,"ext-prod-edge-1,ext-prod-edge-2,ext-prod-edge-3,ext-prod-edge-4,ext-prod-edge-5",PrepaidMobileReloadScheduled-v1
NDBWEB,PrepaidMobileReloadScheduled-PROD,"ext-prod-edge-1,ext-prod-edge-2,ext-prod-edge-3,ext-prod-edge-4,ext-prod-edge-5",PrepaidMobileReloadScheduled-v2
NDBWEB,PrepaidMobileReloadScheduled-PROD,"ext-prod-edge-1,ext-prod-edge-2,ext-prod-edge-3,ext-prod-edge-4,ext-prod-edge-5",PrepaidMobileReloadScheduledRequest-v2
NDBWEB,MPS-RegisterCustomerService,"ext-prod-edge-1,ext-prod-edge-2,ext-prod-edge-3,ext-prod-edge-4,ext-prod-edge-5",Retail-MPS-RegisterCustomerService-V1
NDBWEB,MPS-RegisterCustomerService,"ext-prod-edge-1,ext-prod-edge-2,ext-prod-edge-3,ext-prod-edge-4,ext-prod-edge-5",Retail-MPS-RegisterCustomerService-V1
